Station Name,Latitude,Longitude,Bikes Available
Little Norway Park,43.635023,-79.399505,22
Isabella St / Church St,43.66834,-79.38235,2
University Ave / Armoury St,43.65263,-79.38766,0
Lascelles Blvd / Eglinton Ave W,43.70547,-79.40355,1
Polson Pier,43.641675,-79.354006,8
Dentonia Park,43.694341,-79.291416,1
Lower Jarvis St / Queens Quay E,43.64422,-79.36927,17
Summerhill Ave / Maclennan Ave,43.685924,-79.376304,0
Queens Quay E / Lower Sherbourne St,43.645215,-79.364898,3
Wright Ave / Sorauren Ave - SMART,43.646677,-79.442741,1
Ellis Ave / The Queensway,43.63855,-79.46693,15
High Park - Grenadier Cafe,43.645599,-79.4657123,9
Winona Dr / Davenport Rd,43.674923,-79.430465,1
Danforth Ave / Aldridge Ave,43.684758,-79.316767,3
Dundonald St / Church St,43.66663,-79.38148,0
Gerrard St E / Malvern Ave - SMART,43.685221,-79.294766,0
Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,11
Queens Quay W / Lower Simcoe St,43.63951,-79.383717,17
Bremner Blvd / Rees St,43.641529,-79.386741,15
King St W / Crawford St,43.6417852,-79.4131148,22
Yonge St / Dundas Sq,43.655766,-79.3802,12
St Clair Ave W / Winona Dr,43.680466,-79.432522,1
Bay St / Wellesley St W,43.664088,-79.387095,7
Humberside Grounds - SMART,43.65917,-79.46997,9
Bloor St E / Huntley St - SMART,43.671535,-79.379173,1
Wellington St W / York St,43.646734,-79.38301,0
Dalton Rd / Bloor St W,43.6662942,-79.4066433,9
Davenport Rd / Christie St,43.675278,-79.423889,1
King St W / Jordan St,43.648928,-79.378623,6
E.T. Seton Park (Eglinton Ave E / Leslie St),43.715951,-79.351246,1
Woodbine Ave / Lake Shore Blvd E,43.665645,-79.304711,19
King St W / Charlotte St,43.645572,-79.39399,7
Jarvis St / Richmond St E,43.652777,-79.372637,8
Symington Ave / Dupont St,43.665538,-79.451263,2
King St E / Jarvis St,43.650325,-79.372287,21
Bay St / Bloor St W (East Side),43.66943,-79.38915,0
Bay St / Bloor St W (West Side),43.669244,-79.3894,1
Wells Hill Ave / St Clair Ave W,43.683351,-79.41562,0
Dundas St E / George St,43.6574766,-79.373446,1
Fleet St / Bathurst St,43.636611,-79.400042,11
Tecumseth St / Queen St W - SMART,43.646552,-79.406468,7
Briar Hill Ave / Yonge St - SMART,43.713524,-79.400162,0
King St E / Church St,43.65003919999999,-79.3733541,13
Bay St / Albert St,43.653264,-79.382458,15
Wellesley St W / Queen's Park Cres,43.663376,-79.392125,0
Bay St / College St (East Side),43.660439,-79.385525,5
University Ave / College St (West),43.659226,-79.390213,0
University Ave / College St (East),43.65995,-79.38964,0
Queen's Park Cres E / Grosvenor St - SMART,43.661803,-79.389682,2
Bay St / College St (West Side) - SMART,43.660087,-79.385655,1
Superior Ave / Lake Shore Blvd W,43.6146692,-79.4873148,11
Humber Bay Shores Park / Marine Parade Dr,43.626265,-79.476723,23
Lake Shore Blvd W / Colborne Lodge Dr,43.63771,-79.458173,4
Ripley Ave / Ormskirk Ave,43.6390437,-79.4760109,18
St Clarens Ave / Shirley St,43.6486599,-79.4376413,3
Lisgar Park,43.6423847,-79.4240277,13
Bartlett Parkette,43.6702236,-79.4360232,0
Sherbourne St N / Elm Ave,43.6752732,-79.3778458,1
Walnut Ave / Queen St W,43.645469,-79.411084,10
Vaughan Rd /Wychwood Ave,43.6882821,-79.4253856,0
Palmerston Ave / Dundas St W,43.651603,-79.408346,12
541 Huron St - SMART,43.670206,-79.402643,8
Euclid Ave / Herrick St - SMART,43.661559,-79.413845,5
Baldwin St / Henry St,43.6560758,-79.393259,14
Orde St / McCaul St,43.6580442,-79.3927404,1
Ross St / Cecil St - SMART,43.6568254,-79.3966159,9
Lake Shore Blvd W / Thirty Ninth Street,43.5927419,-79.54033009999999,19
Lake Shore Blvd W / Twenty Fourth St,43.597082,-79.522768,6
Windsor St / Newcastle St,43.6171635,-79.4971065,17
Royal York Rd / Mimico Ave,43.612063,-79.496573,16
Berry Rd / Bell Manor Dr,43.63732,-79.489083,8
Humber College,43.5961692,-79.5160575,3
Amos Waites Park,43.613606,-79.4883535,23
Priscilla  Ave / Dundas St W,43.664665,-79.489385,20
Durie St / Dundas St W,43.665523,-79.484892,6
St Clair Ave W / Castleton Ave,43.668496,-79.485426,4
Weston Lions Park,43.698841,-79.519472,11
Annette St / Jane St,43.658574,-79.487246,10
Jameson Ave / Queen St W,43.63985,-79.43703,19
Carlaw Ave / Dundas St E,43.665076,-79.341509,8
Toronto Inukshuk Park,43.6323994,-79.40978179999999,36
Cosburn Ave / Durant Ave,43.6935477,-79.3301658,6
Swansea Community Centre,43.6438036,-79.4770327,7
Bellwoods Ave / Treford Pl - SMART,43.65246,-79.413528,14
Bayview Ave / Lawren Harris Square,43.6548521,-79.35397680000001,4
The Queensway / High St,43.630874,-79.482407,19
Symington Ave / Davenport Rd,43.6704403,-79.45328549999999,0
Front St E / Bayview Avenue,43.6535,-79.354068,17
Oak St / Sumach St,43.6617908,-79.361515,11
The Esplanade / Hahn Pl,43.649709,-79.364184,15
439 Sherbourne St,43.666051,-79.374161,4
Glebe Rd W / Yonge St,43.7005976,-79.397345,1
Hillsdale Ave W / Yonge St,43.7029672,-79.3979073,0
Alvin Ave / St Clair Ave E,43.68871,-79.39264,0
Eglinton Ave W / Scarlett Rd,43.6834703,-79.5108942,4
The Pond Rd / Sentinel Rd,43.7696262,-79.5025943,9
Sentinel Rd / Finch Corridor Trail,43.7641485,-79.5012809,2
Finch West Subway Station,43.76521,-79.491281,7
Dufferin St / Finch Corridor Trail,43.7724019,-79.4675395,10
G Ross Lord Park,43.7781116,-79.467963,6
Elwood Blvd / Avenue Rd,43.707049,-79.40966,0
Roehampton Ave / Bayview Ave,43.711751,-79.378615,9
Teddington Park Ave,43.732975,-79.40401,0
Ursula Franklin St / Huron St - SMART,43.660274,-79.398049,0
Woodbine Ave / O'Connor Dr,43.699281,-79.318802,1
Dawes Rd / Taylor Creek Trl,43.696631,-79.297436,6
Queen St W / John St,43.650077,-79.391291,10
Fairmount Park,43.6765897,-79.3163022,17
Richmond St W / York St,43.650745,-79.383633,0
Sunnybrook Park,43.720233,-79.362092,16
Vaughan Rd / Oakwood Ave,43.6926825,-79.441042,1
Braemar Ave / Eglinton Ave W,43.7041957,-79.4094472,1
Eglinton Ave E / Redpath Ave,43.7078691,-79.39248,0
Marie Curtis Park,43.5880774,-79.5432067,18
Guildwood GO Station (South),43.754978,-79.1971289,2
Chorley Park - SMART,43.6856,-79.3718,1
Cherry Beach,43.637764,-79.345359,10
Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,1
Ursula Franklin St / St. George St - SMART,43.660296,-79.397107,1
Rouge Hill GO Station,43.7805505,-79.1301203,4
Colonel Danforth Park,43.7777114,-79.1659711,7
Morningside Park (Highland Creek Trail),43.779353,-79.193023,8
Livingston Rd / Guildwood Pkwy,43.747854,-79.199327,12
